Original works,,,,,
Opera,,,,,
Don Sanche (Le château de l'amour),1824–25,Stage,,vv ch orch,"opera in 1 act; libretto by Théaulon and de Rancé, after a story by Jean-Pierre Claris de Florian; first perf. 1825-10-17 in Paris; unpublished"
"Was Gott tut, das ist wohlgetan",1878–79,"Choral, sacred",,ch kbd,"arr. for pf as S.504b/10, for v org as S.669a/6"
Wer nur den lieben Gott läßt walten,1878–79,"Choral, sacred",,ch kbd,"arr. for pf as S.504b/11, for v org as S.669a/7"
Vexilla Regis,1878–79,"Choral, sacred",,ch kbd,arr. for pf as S.504b/9
Crux ave benedicta,1878–79,"Choral, sacred",,ch kbd,arr. for pf as S.504b/1
O Traurigkeit,1878–79,"Choral, sacred",,ch kbd,arr. for pf as S.504b/8
Nun danket alle Gott!,1878–79,"Choral, sacred",,ch kbd,arr. for pf as S.504b/4
Jesu Christe (Die fünf Wunden),1878–79,"Choral, sacred",,ch kbd,arr. for pf as S.504b/2
Meine Seel' erhebt den Herrn! (Gott sei uns gnädig und barmherzig) (Der Kirchensegen),1878,"Choral, sacred",,ch org,arr. of S.50/2
Septem sacramenta,1878–84,"Choral, sacred",,mez bar ch org/harm,
Via Crucis (Les 14 stations de la croix),1876–79,"Choral, sacred",,vv ch pf/org/harm,"arr. for org as S.669b, for pf4h as S.583, for pf as S.504"
O Roma nobilis,1878–79,"Choral, sacred",,ch org,"based on a chorus by Giuseppe Baini; Liszt's authorship of Choral, sacred parts doubtful; see also arrs. for org as S.669c, for pf as S.506b"
Ossa arida,1879,"Choral, sacred",,ch org4h,
Rosario,1879,"Choral, sacred",,ch org/harm (+ bar),
Mysteria gaudiosa,1879,"Choral, sacred",,ch org/harm,arr. for org/harm as S.670/1
Mysteria dolorosa,1879,"Choral, sacred",,ch org/harm,arr. for org/harm as S.670/2
Mysteria gloriosa,1879,"Choral, sacred",,ch org/harm,arr. for org/harm as S.670/3
Pater noster,1879,"Choral, sacred",,bar/mch org/harm,
In domum Domini ibimus,1884,"Choral, sacred",,ch br perc org,"arr. for pf as S.505, for org as S.671"
O sacrum convivium,1880–85,"Choral, sacred",,alt fch org/harm,arr. for org/harm as S.674a
Pro Papa,1880,"Choral, sacred",,ch org,
Tu es Petrus,1880,"Choral, sacred",,mch org,
Dominus conservet eum,1880,"Choral, sacred",,ch org,
Ave Maria III (Sposalizio),1883,"Choral, sacred",,alt fch org/harm,"based on S.161/1; arr. for org/harm as S.671a, for v 2pf as S.700g"
Nun danket alle Gott,1883,"Choral, sacred",,ch/mch 2tpt 3tbn timp org,arr. for org as S.674c
Mariengarten,1884?,"Choral, sacred",,ch org (+ alt ten),
Qui seminant in lacrimis,1883,"Choral, sacred",,ch org,
Pax vobiscum!,1885,"Choral, sacred",,mch (+ org),
Qui Mariam absolvisti,1885,"Choral, sacred",,bar ch org/harm,
Salve Regina,1885,"Choral, sacred",,ch,
Secular choral works,,,,,
Festkantate zur Enthüllung des Beethoven-Denkmals in Bonn (Was versammelt hier die Menge),1845,"Choral, secular",,6vv orch,arr. for pf4h as S.584; extracts arr. for pf in S.507
(Beethoven Cantata No.1),,,,,
Zur Säcularfeier Beethovens,1869–70,"Choral, secular",,4vv ch orch,
(Beethoven Cantata No.2),,,,,
Chöre zu Herders Entfesseltem Prometheus,1850,"Choral, secular",,sop alt 2ten 2bass ch orch,"1st version of S.69/2, S.69/3; No.4 arr. for pf as S.507a (incomplete); No.5 arr. for pf as S.692e (unfinished); overture rev. as S.99"
Chöre zu Herders Entfesseltem Prometheus,1855–59,"Choral, secular",,sop alt 2ten 2bass 2ch orch,"2nd version of S.69/1, S.69/3; No.4 arr. for pf as S.508, for pf4h as S.585"
Chöre zu Herders Entfesseltem Prometheus,1877?,"Choral, secular",,sop alt 2ten 2bass 2ch orch,"3rd version of S.69/1, S.69/2"
An die Künstler,1853,"Choral, secular",,4vv mch ww br,"instrumentation by Joachim Raff; 1st version of S.70/2, S.70/3"
An die Künstler,1853–54,"Choral, secular",,4vv mch orch,"2nd version of S.70/1, S.70/3"
An die Künstler,1856–57,"Choral, secular",,4vv mch org orch,"3rd version of S.70/1, S.70/2; themes used in S.114"
Gaudeamus igitur (Humoreske),1869–70,Orchestral,,orch,"1st version of S.71b, S.71c; arr. for pf as S.509; for pf4h as S.586"
Gaudeamus igitur (Humoreske),1869–70,"Choral, secular",,mch orch,"2nd version of S.71a, S.71c"
Gaudeamus igitur (Humoreske),1869–70,"Choral, secular",,ch orch,"3rd version of S.71a, S.71b"
Vierstimmige Männergesänge (4):,1841–42,"Choral, secular",,mch pf,
Rheinweinlied (Wo solch ein Feuer),1841,"Choral, secular",,mch pf,1st version
Rheinweinlied (Wo solch ein Feuer),1884,"Choral, secular",,mch pf,2nd version
Studentenlied aus Goethe's Faust (Es lebt’ eine Ratt im Kellernest),1841–42,"Choral, secular",,mch,
Reiterlied I (Die bange Nacht ist nun herum),1841–42,"Choral, secular",B? major,mch,for alternative setting see S.72/4
Reiterlied II (Die bange Nacht ist nun herum),1841–42,"Choral, secular",C major,mch,for alternative setting see S.72/3
Es war einmal ein König (Flohlied),1844–45,"Choral, secular",,bar/bass mch pf,
Das deutsche Vaterland I (Was ist das deutsche Vaterland?),1841,"Choral, secular",D major,4vv mch pf,1st version of S.74/2
Das deutsche Vaterland II (Was ist das deutsche Vaterland?),1848,"Choral, secular",C major,mch,2nd version of S.74/1
Über allen Gipfeln ist Ruh’ (Wanderers Nachtlied),1842,"Choral, secular",,mch,"No.3 of Vierstimmige Männergesänge; 1st version of S.75/2, S.75/3"
Über allen Gipfeln ist Ruh’ (Wanderers Nachtlied),1849,"Choral, secular",,mch,"2nd version of S.75/1, S.75/3"
Über allen Gipfeln ist Ruh’ (Wanderers Nachtlied),1856,"Choral, secular",,mch 2hn,"3rd version of S.75/1, S.75/2"
Das düstre Meer umrauscht mich,1842,"Choral, secular",,mch pf,No.2 of Vierstimmige Männergesänge
Heil! Unsrer Glocke heil,1843,"Choral, secular",,mch pf,
Die lustige Legion,1846?,"Choral, secular",,mch (+ pf),
"Trinkspruch (Giesst Wein in die Gläser, ihr Zecher!)",1843–44,"Choral, secular",,mch pf,No.1 of Sechs Männerchöre
Titan (Auf des Athos blauen Felsenspitzen),1842–47,"Choral, secular",,bar mch pf,2nd version of S.700j; arr. for bar mch orch as S.79/2
Titan (Auf des Athos blauen Felsenspitzen),1848,"Choral, secular",,bar mch orch,arr. of S.79/1
Les quatre éléments,1844–45,"Choral, secular",,mch pf/pf4h,arr. for mch orch by Liszt and August Conradi as S.80b
La terre,1844–45,"Choral, secular",,mch pf,arr. for mch orch by Liszt and August Conradi as S.80b/1
Les aquilons,1844,"Choral, secular",,mch pf4h,arr. for mch orch by Liszt and August Conradi as S.80b/2
Les flots,1845,"Choral, secular",,mch pf,arr. for mch orch by Liszt and August Conradi as S.80b/3
Les astres,1845?,"Choral, secular",,mch pf,arr. for mch orch by Liszt and August Conradi as S.80b/4
Les quatre éléments,1844–48,"Choral, secular",,mch orch,arr. of S.80a by Liszt and August Conradi; sketches for overture rev. as S.97
La terre,1844–48,"Choral, secular",,mch orch,arr. of S.80a/1 by Liszt and August Conradi
Les aquilons,1844–48,"Choral, secular",,mch orch,arr. of S.80a/2 by Liszt and August Conradi
Les flots,1845–48,"Choral, secular",,mch orch,arr. of S.80a/3 by Liszt and August Conradi
Les astres,1845–48,"Choral, secular",,mch orch,arr. of S.80a/4 by Liszt and August Conradi
"Le forgeron (Le fer est dur, frappons, frappons)",1845,"Choral, secular",,2vv mch pf,arr. for 2vv mch orch by Liszt and August Conradi as S.81/2
"Le forgeron (Le fer est dur, frappons, frappons)",1845–48,"Choral, secular",,2vv mch orch,arr. of S.81/1 by Liszt and August Conradi
A patakhoz (A patakcsa),1846,"Choral, secular",,mch,
"Arbeiterchor (Herbei, herbei, den Spath’ und Schaufel ziert)",1843–48?,"Choral, secular",,bar mch pf,arr. for pf as S.510; arr. for pf4h as S.587
Ungaria-Kantate (Aus Osten aus der Sonne Tor),1842–48?,"Choral, secular",,vv mch pf,arr. for vv mch orch by Liszt and August Conradi as S.83b
Ungaria-Kantate (Aus Osten aus der Sonne Tor),1848,"Choral, secular",,vv mch orch,arr. of S.83a by Liszt and August Conradi
"Licht, mehr Licht",1849,"Choral, secular",,mch 3tbn tba,1st version of S.84/2
"Licht, mehr Licht",1856,"Choral, secular",,mch 2tpt 3tbn,2nd version of S.84/1
"Chor der Engel aus Goethe's Faust II (Rosen, ihr blendenden)",1849,"Choral, secular",,mch pf,"1st version of S.85/2, S.85/3"
"Chor der Engel aus Goethe's Faust II (Rosen, ihr blendenden)",1849,"Choral, secular",,fch hp pf/harm,"2nd version of S.85/1, S.85/3"
"Chor der Engel aus Goethe's Faust II (Rosen, ihr blendenden)",1849,"Choral, secular",,ch hp/pf,"3rd version of S.85/1, S.85/2"
Festchor zur Enthüllung des Herder-Denkmals in Weimar,1850,"Choral, secular",,mch pf,arr. for mch br as S.86b
Festchor zur Enthüllung des Herder-Denkmals in Weimar,1850,"Choral, secular",,mch br,arr. of S.86a
Weimars Volkslied (Von der Wartburg),1857,"Choral, secular",E major,mch ww br perc,arr. of S.313; 1st version of S.87/1bis; arr. for mch pf as S.87/1b
