original works, , , , , 

opera, , , , , 

don sanche (le château de l'amour), 1824–25, stage, , vv ch orch, "opera in 1 act; libretto by théaulon and de rancé
hungarian rhapsody no.1 (lento quasi recitativo), 1846, "piano,  national theme", c? minor, pf
hungarian rhapsody no.2 (lento a capriccio), 1847, "piano,  national theme", c? minor, pf
hungarian rhapsody no.2 (lento a capriccio), 1885, "piano,  national theme", c? minor, pf
hungarian rhapsody no.3 (andante), 1847, "piano,  national theme", b? major, pf
"hungarian rhapsody no.4 (quasi adagio,  altiermamente)", 1847, "piano,  national theme", e? major
hungarian rhapsody no.5 (héroïde-élégiaque), 1847, "piano,  national theme", e minor, pf
hungarian rhapsody no.6 (tempo giusto), 1847, "piano,  national theme", d? major, pf
hungarian rhapsody no.7 (lento), 1847, "piano,  national theme", d minor, pf
hungarian rhapsody no.8 (lento a capriccio), 1846, "piano,  national theme", f? minor, pf
"hungarian rhapsody no.9 (""pesther carneval"")", 1847, "piano,  national theme", e? major, pf
hungarian rhapsody no.10 (preludio), 1847, "piano,  national theme", e major, pf
hungarian rhapsody no.10 (preludio), 1847, "piano,  national theme", e major, pf
hungarian rhapsody no.11 (lento a capriccio), 1847, "piano,  national theme", a minor, pf
hungarian rhapsody no.12 (introduzione. mesto), 1847, "piano,  national theme", c? minor, pf
hungarian rhapsody no.13 (andante sostenuto), 1847, "piano,  national theme", a minor, pf
"hungarian rhapsody no.14 (lento,  quasi marcia funebre)", 1847, "piano,  national theme", f minor
hungarian rhapsody no.15 (rákóczi-marsch), 1847, "piano,  national theme", a minor, pf
hungarian rhapsody no.15 (rákóczi-marsch), 1847, "piano,  national theme", a minor, pf
hungarian rhapsody no.16 (allegro), 1882, "piano,  national theme", a minor, pf
hungarian rhapsody no.17 (lento), 1883, "piano,  national theme", d minor, pf
hungarian rhapsody no.18 (lento), 1885, "piano,  national theme", f? minor, pf
hungarian rhapsody no.19 (lento), 1885, "piano,  national theme", d minor, pf
rákóczi-marsch, 1863, "piano,  national theme", a minor, pf
rákóczi-marsch, 1871, "piano,  national theme", a minor, pf
marche de rákóczy (Édition populaire), 1851, "piano,  national theme", a minor, pf
ungarische volkslieder (magyar népdal) (5), 1873, "piano,  national theme", , pf
csak titokban, 1873, "piano,  national theme", d major, pf
"jaj,  beh szennyes", 1873, "piano,  national theme", g major
beh szomoru ez az élet, 1873, "piano,  national theme", g major, pf
beh! sok falut, 1873, "piano,  national theme", c? minor, pf
"erdt,  erdt,  sfrf erdt", 1873, "piano,  national theme"
puszta-wehmut (a puszta keserve), 1871, "piano,  national theme", , pf
italian, , , , , 

la romanesca, , "piano,  national theme", , pf
canzone napolitana (notturno), 1842, "piano,  national theme", , pf
canzone napolitana (notturno), 1842, "piano,  national theme,  italian", 
polish, , , , , 

glanes de woronince (3):, 1847, "piano,  national theme", , pf
ballade d'ukraïne (dumka), 1847, "piano,  national theme", , pf
mélodies polonaises, 1847, "piano,  national theme", , pf
complainte (dumka), 1847, "piano,  national theme", , pf
mélodie polonaise, 1843, "piano,  national theme", , pf
dumka, 1871, "piano,  national theme", , pf
russian, , , , , 

air cosaque, 1879, "piano,  national theme", , pf
le rossignol (air russe d'alexander alabieff), 1842, "piano,  national theme", , pf
mélodies russes (arabesques) (2):, 1842, "piano,  national theme", , pf
le rossignol (romance de alexandr alexandrovitch alabieff), 1842, "piano,  national theme", , pf
chanson bohémienne (de piotr petrovitch boulakhov), 1842, "piano,  national theme", , pf
abschied (russisches volkslied), 1885, "piano,  national theme", , pf
spanish, , , , , 

rondeau fantastique sur un thème espagnol (el contrabandista), 1836, "piano,  national theme", b? major, pf
la romanesca (mélodie du 16ième siècle), 1832–33, "piano,  national theme", , pf
la romanesca (mélodie du 16ième siècle), 1852?, "piano,  national theme", , pf
grosse konzertfantasie über spanische weisen, 1845, "piano,  national theme", , pf
rhapsodie espagnole (folies d’espagne et jota aragonesa), 1858, "piano,  national theme", , pf
"piano,  four hands", , , , 
festpolonaise, , "piano,  4 hands", , pf4h
variation über das thema von borodin, , "piano,  4 hands", , pf4h
nocturne, , "piano,  4 hands", e minor, pf4h
two pianofortes, , , , , 

grosse konzertstück über themen aus mendessohns lieder ohne worte, 1834, "piano,  2 pianos", , 2pf
concerto pathétique, 1855, "piano,  2 pianos", , 2pf
concerto pathétique, 1866, "piano,  2 pianos", , 2pf
organ, , , , , 

"fantasie und fuge über den choral ad nos,  ad salutarem undam", 1850, organ, , org
präludium und fuge über den namen bach, 1855–56, organ, , org, 1st version of s.260/2; arr. for pf as s.529/1

präludium und fuge über den namen bach, 1869–70, organ, , org, 2nd version of s.260/1; arr. for pf as s.529/2

pio ix (der papsthymnus), 1863–65, organ, , org, "arr. for pf as s.530
andante religioso, 1861, organ, , org, "arr. by alexander gottschalg (rev. liszt) of s.95
ora pro nobis, 1864, organ, , org, 

resignazione, 1877–81, organ, , org, see s.187

missa pro organo lectarum celebrationi missarum adjumento inserviens, 1879, organ, , org, "based on s.8
gebet (preghiera), 1879, organ, , org, rev. as movt. iii of s.264

requiem für die orgel, 1883, organ, , org, based on s.12

am grabe richard wagners, 1883, organ, , org, arr. of s.135

vortragsstücke (2):, 1884, organ, , org, 

introitus, 1884, organ, , org, 

trauerode (die todten), 1884?, organ, , org, arr. of s.112/1

preludio, 1885?, organ, , org, version of s.666 without vv

songs, , , , , 

angiolin dal biondo crin (englein hold im lockengold), 1839, "vocal,  song", , v pf
angiolin dal biondo crin (englein hold im lockengold), 1849?, "vocal,  song", , v pf
sonetti di petrarca (petrarca-sonette) (3):, 1843–46, "vocal,  song", , v pf
pace non trovo (fried' ist versagt mir), 1843–46, "vocal,  song", , v pf
benedetto sia'l giorno (sei gesegnet immerdar), 1843–46, "vocal,  song", , v pf
i vidi in terra (so sah ich denn auf erden engelsfrieden und glanz), 1843–46, "vocal,  song", , v pf
sonetti di petrarca (petrarca-sonette) (3):, 1864–82, "vocal,  song", , v pf
benedetto sia'l giorno (sei gesegnet immerdar), 1864–82, "vocal,  song", , v pf
pace non trovo (fried' ist versagt mir), 1864–82, "vocal,  song", , v pf
i vidi in terra (so sah ich denn auf erden engelsfrieden und glanz), 1864–82, "vocal,  song", , v pf
il m'aimait tant, 1840–42, "vocal,  song", , v pf
"im rhein,  im schönen strome", 1840, "vocal,  song", 
"im rhein,  im schönen strome", 1855, "vocal,  song", 
die loreley, 1841, "vocal,  song", , v pf
die loreley, 1854–56, "vocal,  song", , v pf
"die zelle in nonnenwerth (ach,  nun taucht die klosterzelle)", 1841, "vocal,  song", 
"die zelle in nonnenwerth (ach,  nun taucht die klosterzelle)", 1858–60, "vocal,  song", 
mignons lied (kennst du das land), 1842, "vocal,  song", , v pf
mignons lied (kennst du das land), 1854, "vocal,  song", , v pf
mignons lied (kennst du das land), 1860, "vocal,  song", , v pf
comment disaient-ils (was tun?), 1842, "vocal,  song", , v pf
comment disaient-ils, 1849–59, "vocal,  song", , v pf
bist du (mild wie ein lufthauch), 1844, "vocal,  song", , v pf
bist du (mild wie ein lufthauch), 1878, "vocal,  song", , v pf
es war ein könig in thule, 1842, "vocal,  song", , v pf
es war ein könig in thule, 1856, "vocal,  song", , v pf
der du von dem himmel bist, 1842, "vocal,  song", , v pf
der du von dem himmel bist, 1849, "vocal,  song", , v pf
der du von dem himmel bist, 1860, "vocal,  song", , v pf
der du von dem himmel bist, 1870, "vocal,  song", , v pf
freudvoll und leidvoll i, 1844, "vocal,  song", , v pf
freudvoll und leidvoll i, 1849, "vocal,  song", , v pf
freudvoll und leidvoll ii, 1848?, "vocal,  song", , v pf
die vätergruft, 1844, "vocal,  song", , v pf
oh! quand je dors, 1842, "vocal,  song", , v pf
oh! quand je dors, 1849, "vocal,  song", , v pf
"enfant,  si j'étais roi", 1844, "vocal,  song", 
"enfant,  si j'étais roi", 1849, "vocal,  song", 
s'il est un charmant gazon, 1844, "vocal,  song", , v pf
s'il est un charmant gazon, 1849–59, "vocal,  song", , v pf
la tombe et la rose, 1844, "vocal,  song", , v pf
gastibelza (bolero), 1844, "vocal,  song", , v pf
du bist wie eine blume, 1843, "vocal,  song", , v pf
du bist wie eine blume, 1849, "vocal,  song", , v pf
was liebe sei, 1842, "vocal,  song", , v pf
was liebe sei, 1854–55, "vocal,  song", , v pf
was liebe sei, 1878–79, "vocal,  song", , v pf
vergiftet sind meine lieder, 1843, "vocal,  song", , v pf
vergiftet sind meine lieder, 1859, "vocal,  song", , v pf
morgens steh ich auf und frage, 1843, "vocal,  song", , v pf
morgens steh ich auf und frage, 1849–59, "vocal,  song", , v pf
die tote nachtigall, 1843, "vocal,  song", , v pf
die tote nachtigall, 1870–79, "vocal,  song", , v pf
lieder aus schiller's wilhelm tell (3), 1845, "vocal,  song", , v pf
der fischerknabe (es lächelt der see), 1845, "vocal,  song", , v pf
der hirt (ihr matten lebt wohl), 1845, "vocal,  song", , v pf
der alpenjäger (es donnern die höh'n), 1845, "vocal,  song", , v pf
lieder aus schiller's wilhelm tell (3), 1855?, "vocal,  song", , v pf
der fischerknabe (es lächelt der see), 1855?, "vocal,  song", , v pf
der hirt (ihr matten lebt wohl), 1855?, "vocal,  song", , v pf
der alpenjäger (es donnern die höh'n), 1855?, "vocal,  song", , v pf
jeanne d'arc au bûcher, 1845, "vocal,  song", , v pf
jeanne d'arc au bûcher, 1874–75, "vocal,  song", , v pf
es rauschen die winde, 1845, "vocal,  song", , v pf
es rauschen die winde, 1849?, "vocal,  song", , v pf
wo weilt er?, 1844, "vocal,  song", , v pf
ich möchte hingehn, 1844–56?, "vocal,  song", , v pf
wer nie sein brot mit tränen aß, 1845, "vocal,  song", , v pf
wer nie sein brot mit tränen aß, 1849, "vocal,  song", , v pf
o lieb so lang du lieben kannst, 1843, "vocal,  song", , v pf
o lieb so lang du lieben kannst, 1843, "vocal,  song", , v pf
(liebestraum no.3), , , , , 

Über die aeolsharfe, 1846, "vocal,  song", , v pf
isten veled, 1847, "vocal,  song", , v pf
isten veled, 1879, "vocal,  song", , v pf
le juif errant, 1847, "vocal,  song", , v pf
"kling leise,  mein lied", 1848, "vocal,  song", 
"kling leise,  mein lied", 1849–60, "vocal,  song", 
oh pourquoi donc, 1844?, "vocal,  song", , v pf
en ces lieux tout me parle d'elle (Élégie), 1844, "vocal,  song", , v pf
elégie (en ces lieux), 1845, "vocal,  song", , v pf
die macht der musik, 1848, "vocal,  song", , v pf
weimars toten, 1848, "vocal,  song", , v pf
le vieux vagabond (der alte vagabund), 1848, "vocal,  song", , v pf
"schwebe,  schwebe,  blaues auge", 1845, "vocal,  song"
"schwebe,  schwebe,  blaues auge", 1849–60, "vocal,  song"
Über allen gipfeln ist ruh, 1848, "vocal,  song", , v pf
Über allen gipfeln ist ruh, 1859, "vocal,  song", , v pf
quand tu chantes bercée, 1842, "vocal,  song", , v pf
"göttliche gedanken,  selige gefühle", 1848, "vocal,  song", 
hohe liebe (in liebesarmen ruht ihr trunken), 1850, "vocal,  song", , v pf
(liebestraum no.1), , , , , 

gestorben war ich (seliger tod), 1845–46, "vocal,  song", , v pf
(liebstraum no.2), , , , , 

ein fichtenbaum steht einsam i, 1845, "vocal,  song", , v pf
ein fichtenbaum steht einsam ii, 1860, "vocal,  song", , v pf
nimm einen strahl der sonne (ihr auge), 1843–49, "vocal,  song", , v pf
anfangs wollt' ich fast verzagen, 1849, "vocal,  song", , v pf
anfangs wollt' ich fast verzagen, 1860?, "vocal,  song", , v pf
wie singt die lerche schön, 1855, "vocal,  song", , v pf
weimars volkslied, 1857, "vocal,  song", , v pf
es muss ein wunderbares sein, 1852, "vocal,  song", , v pf
ich liebe dich, 1857, "vocal,  song", , v pf
muttergottes-sträusslein zum mai-monate, 1857, "vocal,  song", , v pf
das veilchen, 1857, "vocal,  song", , v pf
das schlüsselblumen, 1857, "vocal,  song", , v pf
lasst mich ruhen, 1858, "vocal,  song", , v pf
in liebeslust, 1858, "vocal,  song", , v pf
ich scheide, 1860, "vocal,  song", , v pf
die drei zigeuner, 1860, "vocal,  song", , v pf
die stille wasserrose, 1860, "vocal,  song", , v pf
wieder möcht ich dir begegnen, 1860, "vocal,  song", , v pf
jugendglück, 1860, "vocal,  song", , v pf
blume und duft, 1854, "vocal,  song", , v pf
die fischerstochter, 1871, "vocal,  song", , v pf
la perla (die perle), 1872, "vocal,  song", , v pf
j'ai perdu ma force et ma vie (ich verlor die kraft und das leben), 1872, "vocal,  song", , v pf
ihr glocken von marling, 1874, "vocal,  song", , v pf
und sprich, 1875–79, "vocal,  song", , v pf
sei still, 1877–79?, "vocal,  song", , v pf
gebet, 1878, "vocal,  song", , v pf
einst, 1878, "vocal,  song", , v pf
an edlitam (zur silbernen hochzeit), 1878, "vocal,  song", , v pf
der glückliche (wie glänzt nun die welt), 1878, "vocal,  song", , v pf
"go not,  happy day (weil noch,  sonnenstrahl)", 1879, "vocal,  song"
verlassen (mir ist die welt so freudenleer), 1880, "vocal,  song", , v pf
des tages laute stimmen schweigen, 1880, "vocal,  song", , v pf
und wir dachten der toten, 1871?, "vocal,  song", , v pf
a magyarok istene (ungarns gott), 1881, "vocal,  song", , v pf (+ mch)
magyar király-dal (ungarisches königslied), 1883, "vocal,  song", , v pf
"do not reproach me,  s.340a (liszt,  franz) (?? ????? ????,  ??? ????)", 1866, "vocal
other vocal works, , , , , 

ave maria iv, 1881, vocal, g major, v org/harm, arr. for pf as s.545; for org as s.674b

le crucifix, 1879, vocal, , v pf/harm, "1st version of s.342/2
le crucifix, 1879, vocal, , v pf/harm, "2nd version of s.342/1
le crucifix, 1881–83, vocal, , v pf/harm, "3rd version of s.342/1
sancta caecilia, 1880–85, vocal, , v org/harm, 

o meer im abendstrahl, 1881?, vocal, , 2vv pf/harm, 

wartburg-lieder (7):, 1872–73, choral, , 3vv ch orch/pf, 

an frau minne (die erde ist erschlossen), 1872–73, choral, , ch orch/pf, 

wolfram von eschenbach (als wir mit deutschen klingen), 1872–73, choral, , v ch orch/pf, 

heinrich von ofterdingen (hab' ich geträumt?), 1872–73, vocal, , v orch/pf, 

walther von der vogelweide (beim scheiden der sonne erschimmert), 1872–73, vocal, , v orch/pf, arr. for v vn pf as s.345/3a

walther von der vogelweide (beim scheiden der sonne erschimmert), 1872–73, vocal, , v vn pf, arr. of s.345/3

der tugendhafte schreiber (ich schrieb allzeit nur wenig), 1872–73, vocal, , 2vv orch/pf, 

biterolf und der schmied von ruhla (thüringens wälder senden den waidmann und den schmied), 1872–73, vocal, , v orch/pf, 

reimar der alte (wo liebende herzen sich innig vermählt), 1872–73, vocal, , v orch/pf, 

a magyarok istene (ungarns gott), 1882, choral, , v mch ww br perc, arr. of s.339

recitations, , , , , 

lenore (der bräutigam), 1857–58, "vocal,  recitation", , nar pf
vor hundert jahren, 1859, "vocal,  recitation", , nar orch
der traurige mönch (in schweden steht ein grauer turm), 1860, "vocal,  recitation", , nar pf
des toten dichters liebe (a holt költó szerelme), 1874, "vocal,  recitation", , nar pf
der blinde sänger (??????), 1875–77, "vocal,  recitation", , nar pf
"arrangements,  transcriptions,  fantasies,  etc.", , 
orchestral works, , , , , 

mazurka-fantaisie [h. von bülow], 1865, "orchestral,  arr.", b minor, orch
zweite ouvertüre zum barbier von bagdad [p. cornelius], 1877–80, "orchestral,  arr.", , orch
szózat und hymnus (2 vaterländische dichtungen von vörösmarty and kölcsey), 1872, "orchestral,  arr.", , orch
angelus! prière aux anges gardiens, , "orchestral,  arr.", , str
légendes (2), 1863, "orchestral,  arr.", , orch
vexilla regis prodeunt (kreuzeshymne), 1864, "orchestral,  arr.", , orch
festvorspiel, 1857, "orchestral,  arr.", , orch
festmarsch, 1853, "orchestral,  arr.", , ww br perc
huldigungsmarsch, 1857, "orchestral,  arr.", , orch
vom fels zum meer! (deutscher siegesmarsch), 1853–56?, "orchestral,  arr.", , orch
hungarian rhapsodies (6), 1857–60, "orchestral,  arr.", , orch
hungarian rhapsody no.1, 1857–60, "orchestral,  arr.", f minor, orch
hungarian rhapsody no.2, 1857–60, "orchestral,  arr.", d minor, orch
hungarian rhapsody no.3, 1857–60, "orchestral,  arr.", d major, orch
hungarian rhapsody no.4, 1857–60, "orchestral,  arr.", d minor, orch
hungarian rhapsody no.5 (héroïde-élégiaque), 1857–60, "orchestral,  arr.", e minor, orch
hungarian rhapsody no.6 (pesther carneval), 1857–60, "orchestral,  arr.", d major, orch
weimars volkslied, 1857, "orchestral,  arr.", c major, orch
À la chapelle sixtine, 1862, "orchestral,  arr.", , orch
der papsthymnus, 1864, "orchestral,  arr.", , orch
benedictus aus der ungarischen krönungsmesse, 1875–77, "orchestral,  arr.", , vn orch
angelus! priere aux anges gardiens, 1882, "orchestral,  arr.", , str/(2vn va vc)
märsche von franz schubert (4), 1859–70, "orchestral,  arr.", , orch
(vivace), 1859–70, "orchestral,  arr.", b minor, orch
trauermarsch, 1859–70, "orchestral,  arr.", e? minor, orch
reitermarsch, 1859–70, "orchestral,  arr.", c major, orch
ungarischer marsch, 1859–70, "orchestral,  arr.", d minor, orch
danses galiciennes de zarembski, 1881–82, "orchestral,  arr.", , orch
for pianoforte and orchestra, , , , , 

grand solo de concert, 1849–50, "orchestral,  piano,  arr.", 
concerto pathétique, 1885–86, "orchestral,  piano,  arr.", e minor
hexaméron (morceau de concert), 1837–39, "orchestral,  piano,  arr.", 
franz schuberts grosse fantasie, 1851, "orchestral,  piano,  arr.", c major
polonaise brillante [weber], 1848, "orchestral,  piano,  arr.", e major
songs with orchestra, , , , , 

lieder von francis korbay (2):, 1883, "vocal,  orchestral,  arr.", 
le matin, 1883, "vocal,  orchestral,  arr.", 
gebet, 1883, "vocal,  orchestral,  arr.", 
die loreley, 1860, "vocal,  orchestral,  arr.", 
mignons lied (kennst du das land), 1860, "vocal,  orchestral,  arr.", 
die vätergruft, 1886, "vocal,  orchestral,  arr.", 
lieder aus schiller's wilhelm tell (3), 1855, "vocal,  orchestral,  arr.", 
der fischerknabe (es lächelt der see), 1855, "vocal,  orchestral,  arr.", 
der hirt (ihr matten lebt wohl), 1855, "vocal,  orchestral,  arr.", 
der alpenjäger (es donnern die höh'n), 1855, "vocal,  orchestral,  arr.", 
jeanne d'arc au bûcher, 1858, "vocal,  orchestral,  arr.", 
jeanne d'arc au bûcher, 1875, "vocal,  orchestral,  arr.", 
die drei zigeuner, 1871, "vocal,  orchestral,  arr.", 
lieder von schubert (6), 1860, "vocal,  orchestral,  arr.", 
die junge nonne, 1860, "vocal,  orchestral,  arr.", 
gretchen am spinnrade, 1860, "vocal,  orchestral,  arr.", 
mignons lied (kennst du das land), 1860, "vocal,  orchestral,  arr.", 
erlkönig, 1860, "vocal,  orchestral,  arr.", 
der doppelgänger (still ist die nacht), 1860, "vocal,  orchestral,  arr.", 
abschied, 1860, "vocal,  orchestral,  arr.", 
"die allmacht von franz schubert (gross ist jehova,  der herr)", 1871, "vocal,  orchestral,  arr."
der zaubersee (b?vös tó), 1884, "vocal,  orchestral,  arr.", 
"chamber music,  etc.", , , , 
la notte, 1864–66?, "chamber,  arr.", , vn pf
angelus! priere aux anges gardiens, 1883, "chamber,  arr.", , 2vn va vc
vallée d'obermann, 1880, "chamber,  arr.", , vn va vc
vallée d'obermann, 1880, "chamber,  arr.", , vn va vc
tristia (vallée d'obermann), 1880, "chamber,  arr.", , vn va vc
hungarian rhapsody no.9, 1848, "chamber,  arr.", e? major, vn vc pf
hungarian rhapsody no.12, 1850–59, "chamber,  arr.", c? minor, vn pf
puszta-wehmut, 1880, "chamber,  arr.", , vn pf
o du mein holder abendstern, 1852, "chamber,  arr.", , vc pf
aus der ungarischen krönungsmesse, 1869, "chamber,  arr.", , vn pf
benedictus, 1869, "chamber,  arr.", , vn pf
offertorium, 1869, "chamber,  arr.", , vn pf
a magyarok istene (ungarns gott), 1882, "chamber,  arr.", , vn pf
die zelle im nonnenwerth (elegie), 1883?, "chamber,  arr.", , vn/vc pf
consolations (2):, 1870, "chamber,  arr.", , vc pf/org
(andante con moto), 1870, "chamber,  arr.", , vc pf
(quasi adagio), 1870, "chamber,  arr.", , vc pf/org/harm
die drei zigeuner, 1864, "chamber,  arr.", , vn pf
for pianoforte solo, , , , , 

"paraphrases,  operatic transcriptions,  etc.", , , 
virag dál (chant des fleurs) [Ábrányi], 1880, "piano,  arr.", , pf
"mazurka pour piano,  arr. composée par un amateur de st. pétersbourg", 1868?, "piano,  arr.", 
"variations on ""tiszantuli szép leany""", 1846, "piano,  arr.", , pf
grande fantaisie sur la tyrolienne de l'opéra la fiancée de auber, 1829, "piano,  arr.", a major, pf
grande fantaisie sur la tyrolienne de l'opéra la fiancée de auber, 1843?, "piano,  arr.", a major, pf
souvenir de la fiancée (grande fantaisie sur la tyrolienne de l'opéra la fiancée d'auber), 1842, "piano,  arr.", a major, pf
tyrolean melody, 1829, "piano,  arr.", g major, pf
tarantelle di bravura d’après la tarantelle de la muette de portici, 1846, "piano,  arr.", , pf
tarantelle di bravura d’après la tarantelle de la muette de portici, 1869, "piano,  arr.", , pf
stücke aus der oper la muette de portici von auber (3):, 1847–48, "piano,  arr.", , pf
introduction e cavatine, 1847–48, "piano,  arr.", , pf
klavierstück über ein fremdes thema, 1847–48, "piano,  arr.", , pf
capriccio alla turca sur des motifs de beethoven, 1846, "piano,  arr.", , pf
marche des ruines d'athenes de beethoven, 1846, "piano,  arr.", , pf
fantasie über themen aus beethovens ruinen von athen, 1839, "piano,  arr.", , pf
fantasie über motive aus beethovens ruinen von athen, 1852, "piano,  arr.", , pf
cadenza to the first movement of piano concerto no.3 by beethoven, 1878–79, "piano,  arr.", , pf
réminiscences des puritains de bellini, 1836, "piano,  arr.", , pf
réminiscences des puritains de bellini, 1837, "piano,  arr.", , pf
introduction et polonaise de l'opéra i puritani, 1840–41, "piano,  arr.", , pf
hexaméron (morceaux de concert. grandes variations de bravoure sur la marche des puritains de bellini), 1837–38, "piano,  arr.", , pf
fantaisie sur des motifs favoris de l'opera somnambula de bellini, 1841, "piano,  arr.", , pf
grand fantaisie de concert sur des motifs favoris de l'opera la sonnambula, 1852, "piano,  arr.", , pf
grosse concert-fantasie aus der oper sonnambula, 1874, "piano,  arr.", , pf
réminiscences de norma, 1841, "piano,  arr.", , pf
l'idée fixe, 1833, "piano,  arr.", , pf
bénédiction et serment (deux motifs de benvenuto cellini de berlioz), 1852–53, "piano,  arr.", , pf
réminiscences de lucia di lammermoor, 1835–36, "piano,  arr.", , pf
marche et cavatine de lucie de lammermoor, 1835–36, "piano,  arr.", , pf
nuits d'été à pausilippe (amusements sur des motifs de l'album de donizetti) (3):, 1838, "piano,  arr.", , pf
barcarola (il barcajuolo), 1838, "piano,  arr.", , pf
notturno (l’alito di bice), 1838, "piano,  arr.", , pf
canzone napoletana (la torre di biasone), 1838, "piano,  arr.", , pf
fantaisie sur des motifs favoris de l'opéra lucrezia borgia, 1840, "piano,  arr.", , pf
réminiscences de lucrezia borgia (grande fantaisie sur des motifs de l'opéra de gaetano donizetti), 1848, "piano,  arr.", , pf
trio du seconde acte, 1848, "piano,  arr.", , pf
chanson á boire (orgie). duo. finale, 1848, "piano,  arr.", , pf
spirito gentil (kavatine aus der oper la favorita), 1847, "piano,  arr.", , pf
valse a capriccio (sur deux motifs de lucia et parisina), 1842, "piano,  arr.", , pf
marche funèbre de dom sébastien de donizetti, 1844, "piano,  arr.", , pf
grande paraphrase de la marche de donizetti pour le sultan abdul-medjid khan, 1847, "piano,  arr.", , pf
grande paraphrase de la marche de donizetti pour le sultan abdul-medjid khan, 1848, "piano,  arr.", , pf
halloh! (jagdchor und steirer aus der oper tony von e. h. z. s. c. g.), 1849, "piano,  arr.", , pf
schwanengesang und marsch aus hunyadi lászló, 1847, "piano,  arr.", , pf
pásztor lakodalmus (magyar nóták), 1858, "piano,  arr.", , pf
marcia circassa tratta dall'opera russlan e ludmilla di glinka (marche des tcherkesses de l'opera rouslan et loudmila), 1843, "piano,  arr.", , pf
tscherkessenmarsch aus glinkas oper rußlan und ludmilla, "1843,  1875", "piano,  arr.", 
valse de l'opéra faust, 1861, "piano,  arr.", , pf
les sabéennes (berceuse de l'opéra la reine de saba), 1865, "piano,  arr.", , pf
les adieux (rêverie sur un motif de l'opéra roméo et juliette), 1867, "piano,  arr.", , pf
réminiscences de la juive (fantaisie brillante sur des motifs de l'opéra de halévy), 1835, "piano,  arr.", , pf
konzertparaphrase über mendelssohns hochzeitsmarsch und elfenreigen aus der musik zu shakespeares sommernachtstraum, 1849–50, "piano,  arr.", , pf
soirées italiennes (amusements sur des motifs de mercadante) (6):, 1838–39, "piano,  arr.", , pf
la primavera (canzonetta), 1838–39, "piano,  arr.", , pf
il galop, 1838–39, "piano,  arr.", , pf
il pastore svizzero (tirolese), 1838–39, "piano,  arr.", , pf
la serenata del marinaro, 1838–39, "piano,  arr.", , pf
il brindisi (rondoletto), 1838–39, "piano,  arr.", , pf
la zingarella spagnuola (bolero), 1838–39, "piano,  arr.", , pf
réminiscences des huguenots (grande fantaisie dramatique), 1836, "piano,  arr.", , pf
réminiscences des huguenots (grande fantaisie dramatique), 1838, "piano,  arr.", , pf
grande fantaisie dramatique sur des thèmes de l'opéra les huguenots, 1842, "piano,  arr.", , pf
cavatine de robert le diable, 1841–46?, "piano,  arr.", , pf
réminiscences de robert le diable, 1841, "piano,  arr.", , pf
illustrations du prophète, 1849–50, "piano,  arr.", , pf
prière. hymne triomphal. marche du sacre, 1849–50, "piano,  arr.", , pf
les patineurs. scherzo, 1849–50, "piano,  arr.", , pf
pastorale. appel aux armes, 1849–50, "piano,  arr.", , pf
illustrations de l'opéra l'africaine, 1865, "piano,  arr.", , pf
prière des matelots, 1865, "piano,  arr.", , pf
marche indienne, 1865, "piano,  arr.", , pf
le moine [meyerbeer], 1841, "piano,  arr.", , pf
fantaisie sur l'opéra hongroise szép ilonka, 1865–67, "piano,  arr.", , pf
réminiscences de don juan (grande fantaisie), 1841, "piano,  arr.", , pf
"grande fantaisie sur des motifs de niobe (divertissement sur la cavatine ""i tuoi frequenti palpiti"")", 1835–36, "piano,  arr.", , pf
grande fantaisie de bravoure sur la clochette, 1832–34, "piano,  arr.", , pf
andante finale und marsch aus der oper könig alfred, 1853, "piano,  arr.", , pf
andante, 1853, "piano,  arr.", , pf
marsch, 1853, "piano,  arr.", , pf
introduction et variations sur une marche du siège de corinthe, 1830, "piano,  arr.", , pf
grande fantaisie sur des motifs de la serenata e l'orgia des soirées musicales, 1835–36, "piano,  arr.", , pf
grande fantaisie sur des motifs de la serenata e l'orgia des soirées musicales, 1840, "piano,  arr.", , pf
fantaisie sur des motifs de la pastorella dell’alpi e li marinari des soirées musicales, 1835–36, "piano,  arr.", , pf
soirées musicales de rossini, 1837, "piano,  arr.", , pf
la promessa (canzonetta), 1837, "piano,  arr.", , pf
la regata veneziana (notturno), 1837, "piano,  arr.", , pf
l'invito (bolero), 1837, "piano,  arr.", , pf
la gita in gondola (barcarola), 1837, "piano,  arr.", , pf
il rimprovero (canzonetta), 1837, "piano,  arr.", , pf
la pastorella dell'alpi (tirolese), 1837, "piano,  arr.", , pf
la partenza (canzonetta), 1837, "piano,  arr.", , pf
la pesca (notturno), 1837, "piano,  arr.", , pf
la danza (tarantella napoletana), 1837, "piano,  arr.", , pf
la serenata (notturno), 1837, "piano,  arr.", , pf
l'orgia (arietta), 1837, "piano,  arr.", , pf
li marinari (duetto), 1837, "piano,  arr.", , pf
mélodies hongroises d'après franz schubert (schuberts ungarische melodien), 1838–39, "piano,  arr.", , pf
, , , , , 1st version of s.425a

andante, 1838–39, "piano,  arr.", , pf
marche hongroise, 1838–39, "piano,  arr.", , pf
marche hongroise, 1840, "piano,  arr.", , pf
marche hongroise, 1840, "piano,  arr.", , pf
