original works, , , , , 

opera, , , , , 

don sanche (le château de l'amour), 1824–25, stage, , vv ch orch, "opera in 1 act; libretto by théaulon and de rancé
rosario, 1879, "choral,  sacred", , ch org/harm (+ bar)
mysteria gaudiosa, 1879, "choral,  sacred", , ch org/harm
mysteria dolorosa, 1879, "choral,  sacred", , ch org/harm
mysteria gloriosa, 1879, "choral,  sacred", , ch org/harm
pater noster, 1879, "choral,  sacred", , bar/mch org/harm
in domum domini ibimus, 1884, "choral,  sacred", , ch br perc org
o sacrum convivium, 1880–85, "choral,  sacred", , alt fch org/harm
pro papa, 1880, "choral,  sacred", , ch org
tu es petrus, 1880, "choral,  sacred", , mch org
dominus conservet eum, 1880, "choral,  sacred", , ch org
ave maria iii (sposalizio), 1883, "choral,  sacred", , alt fch org/harm
nun danket alle gott, 1883, "choral,  sacred", , ch/mch 2tpt 3tbn timp org
mariengarten, 1884?, "choral,  sacred", , ch org (+ alt ten)
qui seminant in lacrimis, 1883, "choral,  sacred", , ch org
pax vobiscum!, 1885, "choral,  sacred", , mch (+ org)
qui mariam absolvisti, 1885, "choral,  sacred", , bar ch org/harm
salve regina, 1885, "choral,  sacred", , ch
secular choral works, , , , , 

festkantate zur enthüllung des beethoven-denkmals in bonn (was versammelt hier die menge), 1845, "choral,  secular", , 6vv orch
(beethoven cantata no.1), , , , , 

zur säcularfeier beethovens, 1869–70, "choral,  secular", , 4vv ch orch
(beethoven cantata no.2), , , , , 

chöre zu herders entfesseltem prometheus, 1850, "choral,  secular", , sop alt 2ten 2bass ch orch
chöre zu herders entfesseltem prometheus, 1855–59, "choral,  secular", , sop alt 2ten 2bass 2ch orch
chöre zu herders entfesseltem prometheus, 1877?, "choral,  secular", , sop alt 2ten 2bass 2ch orch
an die künstler, 1853, "choral,  secular", , 4vv mch ww br
an die künstler, 1853–54, "choral,  secular", , 4vv mch orch
an die künstler, 1856–57, "choral,  secular", , 4vv mch org orch
gaudeamus igitur (humoreske), 1869–70, orchestral, , orch, "1st version of s.71b
gaudeamus igitur (humoreske), 1869–70, "choral,  secular", , mch orch
gaudeamus igitur (humoreske), 1869–70, "choral,  secular", , ch orch
vierstimmige männergesänge (4):, 1841–42, "choral,  secular", , mch pf
rheinweinlied (wo solch ein feuer), 1841, "choral,  secular", , mch pf
rheinweinlied (wo solch ein feuer), 1884, "choral,  secular", , mch pf
studentenlied aus goethe's faust (es lebt’ eine ratt im kellernest), 1841–42, "choral,  secular", , mch
reiterlied i (die bange nacht ist nun herum), 1841–42, "choral,  secular", b? major, mch
reiterlied ii (die bange nacht ist nun herum), 1841–42, "choral,  secular", c major, mch
es war einmal ein könig (flohlied), 1844–45, "choral,  secular", , bar/bass mch pf
das deutsche vaterland i (was ist das deutsche vaterland?), 1841, "choral,  secular", d major, 4vv mch pf
das deutsche vaterland ii (was ist das deutsche vaterland?), 1848, "choral,  secular", c major, mch
Über allen gipfeln ist ruh’ (wanderers nachtlied), 1842, "choral,  secular", , mch
Über allen gipfeln ist ruh’ (wanderers nachtlied), 1849, "choral,  secular", , mch
Über allen gipfeln ist ruh’ (wanderers nachtlied), 1856, "choral,  secular", , mch 2hn
das düstre meer umrauscht mich, 1842, "choral,  secular", , mch pf
heil! unsrer glocke heil, 1843, "choral,  secular", , mch pf
die lustige legion, 1846?, "choral,  secular", , mch (+ pf)
"trinkspruch (giesst wein in die gläser,  ihr zecher!)", 1843–44, "choral,  secular", 
titan (auf des athos blauen felsenspitzen), 1842–47, "choral,  secular", , bar mch pf
titan (auf des athos blauen felsenspitzen), 1848, "choral,  secular", , bar mch orch
les quatre éléments, 1844–45, "choral,  secular", , mch pf/pf4h
la terre, 1844–45, "choral,  secular", , mch pf
les aquilons, 1844, "choral,  secular", , mch pf4h
les flots, 1845, "choral,  secular", , mch pf
les astres, 1845?, "choral,  secular", , mch pf
les quatre éléments, 1844–48, "choral,  secular", , mch orch
la terre, 1844–48, "choral,  secular", , mch orch
les aquilons, 1844–48, "choral,  secular", , mch orch
les flots, 1845–48, "choral,  secular", , mch orch
les astres, 1845–48, "choral,  secular", , mch orch
"le forgeron (le fer est dur,  frappons,  frappons)", 1845, "choral,  secular"
"le forgeron (le fer est dur,  frappons,  frappons)", 1845–48, "choral,  secular"
a patakhoz (a patakcsa), 1846, "choral,  secular", , mch
"arbeiterchor (herbei,  herbei,  den spath’ und schaufel ziert)", 1843–48?, "choral,  secular"
ungaria-kantate (aus osten aus der sonne tor), 1842–48?, "choral,  secular", , vv mch pf
ungaria-kantate (aus osten aus der sonne tor), 1848, "choral,  secular", , vv mch orch
"licht,  mehr licht", 1849, "choral,  secular", 
"licht,  mehr licht", 1856, "choral,  secular", 
"chor der engel aus goethe's faust ii (rosen,  ihr blendenden)", 1849, "choral,  secular", 
"chor der engel aus goethe's faust ii (rosen,  ihr blendenden)", 1849, "choral,  secular", 
"chor der engel aus goethe's faust ii (rosen,  ihr blendenden)", 1849, "choral,  secular", 
festchor zur enthüllung des herder-denkmals in weimar, 1850, "choral,  secular", , mch pf
festchor zur enthüllung des herder-denkmals in weimar, 1850, "choral,  secular", , mch br
weimars volkslied (von der wartburg), 1857, "choral,  secular", e major, mch ww br perc
weimars volkslied (von der wartburg), "1857,  rev. 1875?", "choral,  secular", e major
weimars volkslied (von der wartburg), 1875?, "choral,  secular", e major, mch ww br perc
weimars volkslied (von der wartburg), 1857?, "choral,  secular", f major, mch (+ pf)
weimars volkslied (von der wartburg), 1860?, "choral,  secular", e major, mch
weimars volkslied (von der wartburg), 1875?, "choral,  secular", e major, mch
weimars volkslied (von der wartburg), 1875, "choral,  secular", e major, mch org
weimars volkslied (von der wartburg), 1875, "choral,  secular", e major, mch (+ pf)
weimars volkslied (von der wartburg), 1875?, "choral,  secular", e major, uch
weimars volkslied (von der wartburg), 1875?, "choral,  secular", f major, cch
weimars volkslied (von der wartburg), 1857?, "choral,  secular", c major, uch br
weimars volkslied (von der wartburg), 1857?, "choral,  secular", c major, uch pf
mit klingendem spiel i (morgenlied), 1859, "choral,  secular", , fch
mit klingendem spiel ii (morgenlied), 1859, "choral,  secular", , cch
"vereins-lied (frisch auf,  zu neuem leben)", 1855, "choral,  secular", 
"vereins-lied (frisch auf,  zu neuem leben)", 1857, "choral,  secular", 
"vereins-lied (frisch auf,  zu neuem leben)", 1860, "choral,  secular", 
"ständchen (hüttelein,  still und klein)", 1841–43?, "choral,  secular", a major
"ständchen (hüttelein,  still und klein)", 1845–49?, "choral,  secular", a major
"ständchen (hüttelein,  still und klein)", 1857–60, "choral,  secular", g major
wir sind nicht mumien, 1842, "choral,  secular", , mch pf
wir sind nicht mumien, 1860–61, "choral,  secular", , mch pf
vor der schlacht (es rufet gott uns mahnend), 1845, "choral,  secular", , mch pf
vor der schlacht (es rufet gott uns mahnend), 1860, "choral,  secular", , mch
nicht gezagt, 1845, "choral,  secular", a? major, mch pf
nicht gezagt, 1860, "choral,  secular", g major, mch
es rufet got, 1845, "choral,  secular", , mch pf
es rufet got, 1860, "choral,  secular", , mch
soldatenlied aus faust (burgen mit hohen mauern und zinnen), 1844, "choral,  secular", , mch (+tpt timp)
soldatenlied aus faust (burgen mit hohen mauern und zinnen), 1860–61, "choral,  secular", , mch (+tpt timp)
die alten sagen kunden, 1841–45?, "choral,  secular", b? major, mch pf
die alten sagen kunden, 1860–61, "choral,  secular", a minor, 4vv mch
saatengrün, 1843?, "choral,  secular", , mch pf/(hp?)
saatengrün, 1860–61, "choral,  secular", a major, mch
der gang um mitternacht (ich schreite mit dem geist), 1841–43?, "choral,  secular", , mch
der gang um mitternacht (ich schreite mit dem geist), 1860, "choral,  secular", , ten mch
festlied zu schillers jubelfeier 10 november 1859, 1859, "choral,  secular", , bar mch
festlied zu schillers jubelfeier 10 november 1859, 1860, "choral,  secular", , bar mch
gottes ist der orient, 1842, "choral,  secular", b major, mch
gottes ist der orient, 1860–61, "choral,  secular", a major, mch
das lied der begeisterung (a lelkesedés dala), 1871, "choral,  secular", , mch
das lied der begeisterung (was nützt mir der erde reichstes gut), 1874, "choral,  secular", , mch org
carl august weilt mit uns (festgesang zur enthüllung des carl-august-denkmals in weimar), 1875, "choral,  secular", , fch br timp
magyar király-dal (ungarisches königslied), 1883, "choral,  secular", , mch
magyar király-dal (ungarisches königslied), 1883, "choral,  secular", , ch
magyar király-dal (ungarisches königslied), 1883, "choral,  secular", , mch pf
magyar király-dal (ungarisches königslied), 1883, "choral,  secular", , ch pf
magyar király-dal (ungarisches königslied), 1883, "choral,  secular", , mch orch
magyar király-dal (ungarisches königslied), 1883, "choral,  secular", , ch orch
magyar király-dal (ungarisches königslied), 1883, "choral,  secular", , cch
gruss (glück auf), 1885, "choral,  secular", , mch
orchestral works, , , , , 

symphonic poems, , , , , 

ce qu'on entend sur la montagne, "1848–49,  rev. 1850,  1854", "orchestral,  symphonic poem"
(symphonic poem no.1), , , , , 

tasso: lamento e trionfo, "1849,  rev. 1850–51,  1854", "orchestral,  symphonic poem"
(symphonic poem no.2), , , , , 

les préludes, 1850–55, "orchestral,  symphonic poem", , orch
(symphonic poem no.3), , , , , 

orpheus, 1853–54, "orchestral,  symphonic poem", , orch
(symphonic poem no.4), , , , , 

, 1855, "orchestral,  symphonic poem", , orch
prometheus(symphonic poem no.5), , , , , 

mazeppa, 1851–54, "orchestral,  symphonic poem", , orch
(symphonic poem no.6), , , , , 

festklänge, "1853,  rev. 1861", "orchestral,  symphonic poem", 
(symphonic poem no.7), , , , , 

héroïde funèbre, 1854–56, "orchestral,  symphonic poem", , orch
(symphonic poem no.8), , , , , 

hungaria, 1854, "orchestral,  symphonic poem", , orch
(symphonic poem no.9), , , , , 

hamlet, 1858, "orchestral,  symphonic poem", , orch
(symphonic poem no.10), , , , , 

hunnenschlacht, 1855–57, "orchestral,  symphonic poem", , orch
(symphonic poem no.11), , , , , 

die ideale, 1856–57, "orchestral,  symphonic poem", , orch
(symphonic poem no.12), , , , , 

von der wiege bis zum grabe (from the cradle to the grave), 1881–82, "orchestral,  symphonic poem", , orch
(symphonic poem no.13), , , , , 

other orchestral works, , , , , 

faust symphony (eine faust-symphonie), "1854,  1857–61,  1880", orchestral, 
dante symphony (eine symphonie zu dantes divina commedia), 1855–56, orchestral, , orch, themes re-used in s.182a?; arr. for 2pf as s.648; partially arr. for org/harm as s.672b; see also s.167f

episoden aus lenau's faust (2):, 1856–61?, orchestral, , orch, 

der nächtliche zug, 1856–61?, orchestral, , orch, arr. for pf4h as s.599/1; for pf as s.513a

der tanz in der dorfschenke (mephisto waltz), 1856–61?, orchestral, , orch, arr. of s.514

mephisto waltz no.2 (zweiter mephisto-walzer), 1880–81, orchestral, , orch, arr. of s.515

odes funèbres (3):, 1860–66, orchestral, , orch, 

les morts, 1860, orchestral, , orch (+ mch), arr. for pf as s.516; for pf4h as s.601; for org as s.268/2

la notte, 1860–64, orchestral, , orch, arr. for pf as s.516a; for pf4h as s.602; for vn pf as s.377a

le triomphe funèbre du tasse, 1866, orchestral, , orch, "epilogue to s.96; arr. for pf as s.517
boze co? polsk?, 1863, orchestral, , orch, based on an old polish song [formerly s.709]; 1st version of s.113/2; arr. for pf4h as s.604/1

salve polonia (interludium aus dem oratorium st. stanislaus), 1884, orchestral, , orch, "interlude to s.688; 2nd version of s.113/1; arr. for pf as s.518
légendes (2):, 1863, orchestral, , orch, arr. of s.175

st françois d'assise: la prédication aux oiseaux, 1863, orchestral, , orch, arr. of s.175/1

st françois de paule: marchant sur les flots, 1863, orchestral, , orch, arr. of s.175/2

künstlerfestzug zur schillerfeier 1859, 1857–59, orchestral, , orch, uses themes from s.70/3; arr. for pf as s.520; arr. for pf4h as s.605

festmarsch zur goethe-jubiläumfeier, 1857, orchestral, , orch, based on s.227; arr. for pf as s.522; arr. for pf4h as s.606

festmarsch nach motiven von e.h.z.s.-c.-g., 1858–59, orchestral, , orch, "based on themes from the opera diana von solang by ernst ii
rákóczi-marsch, 1863–67, orchestral, , orch, "based on s.244/15; arr. for pf as s.244a
ungarischer marsch zur krönungsfeier in ofen-pest am 8. juni 1867, 1870, orchestral, , orch, arr. for pf as s.523; arr. for pf4h as s.609

ungarischer sturmmarsch (hungarian battle march), 1875, orchestral, , orch, "based on s.232; arr. for pf as s.524
pianoforte and orchestra, , , , , 

grande fantaisie symphonique (u?ber themen aus hector berlioz’ le?lio), 1834, "orchestral,  piano", , pf orch
malédiction, 1833, "orchestral,  piano", e minor, pf str
de profundis (psaume instrumentale), 1834–35, "orchestral,  piano", , pf orch
fantasie über motive aus beethovens ruinen von athen, 1852, "orchestral,  piano", , pf orch
fantasie über ungarische volksmelodien, 1846–52, "orchestral,  piano", , pf orch
piano concerto no.1, 1835–56, "orchestral,  piano", e? major, pf orch
piano concerto no.2, 1849–61, "orchestral,  piano", a major, pf orch
piano concerto [no.3], 1835–39, "orchestral,  piano", e? major, pf orch
